Rk,Player,FGA,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
43,Brandon Jennings,13.2,2014-15,25,DET,41,41,0,28.6,5.3,13.2,3.5,8.1,1.9,5.1,2.9,3.5,0.5,2,2.5,6.6,1.1,0.1,2.2,1.6,15.4,0.401,0.428,0.36,0.839,0.522,0.471,G
44,Marc Gasol,13.2,2014-15,30,MEM,81,81,1,33.2,6.5,13.2,6.5,13,0,0.2,4.3,5.4,1.4,6.4,7.8,3.8,0.9,1.6,2.2,2.6,17.4,0.494,0.5,0.176,0.795,0.558,0.496,C
45,Trey Burke,13.2,2014-15,22,UTA,76,43,0,30.1,4.9,13.2,3.2,8.1,1.6,5.1,1.4,1.9,0.4,2.3,2.7,4.3,0.9,0.2,1.6,1.6,12.8,0.368,0.4,0.318,0.752,0.455,0.43,G
46,Avery Bradley,13.1,2014-15,24,BOS,77,77,0,31.5,5.6,13.1,4,8.6,1.6,4.6,1,1.3,0.6,2.5,3.1,1.8,1.1,0.2,1.4,2.3,13.9,0.429,0.47,0.352,0.79,0.507,0.49,G
47,Zach Randolph,13.1,2014-15,33,MEM,71,71,0,32.5,6.4,13.1,6.3,12.8,0.1,0.3,3.2,4.2,3.2,7.4,10.5,2.2,1,0.2,2.2,2.5,16.1,0.487,0.49,0.35,0.765,0.538,0.491,F-C
48,Jamal Crawford,13.1,2014-15,34,LAC,64,4,0,26.6,5.2,13.1,3.3,7.4,1.9,5.7,3.5,3.9,0.3,1.7,1.9,2.5,0.9,0.2,1.4,1.7,15.8,0.396,0.448,0.327,0.901,0.532,0.467,G
49,Reggie Jackson,12.9,2014-15,24,"DET,OKC",77,40,0,29.5,5.6,12.9,4.7,9.8,0.9,3.1,2.4,2.8,0.7,3.5,4.2,6,0.8,0.1,2.4,2.2,14.5,0.434,0.477,0.299,0.83,0.511,0.47,G
50,Eric Bledsoe,12.9,2014-15,25,PHO,81,81,0,34.6,5.8,12.9,4.7,9.6,1.1,3.4,4.4,5.4,0.9,4.3,5.2,6.1,1.6,0.6,3.4,2.3,17,0.447,0.491,0.324,0.8,0.555,0.489,G
51,Goran Dragi?,12.8,2014-15,28,"MIA,PHO",78,78,0,33.8,6.4,12.8,5.3,9.5,1.2,3.3,2.3,3,1,2.5,3.5,4.5,1,0.2,2.2,2.5,16.3,0.501,0.555,0.347,0.774,0.577,0.546,G
52,Kawhi Leonard,12.8,2014-15,23,SAS,64,64,0,31.8,6.2,12.8,5.1,9.8,1,3,3.2,3.9,1.3,5.9,7.2,2.5,2.3,0.8,1.5,2,16.5,0.479,0.519,0.349,0.802,0.567,0.52,F
53,Joe Johnson,12.8,2014-15,33,BRK,80,80,0,34.9,5.6,12.8,4.1,8.6,1.5,4.2,1.8,2.2,0.7,4.1,4.8,3.7,0.7,0.2,1.7,1.5,14.4,0.435,0.472,0.359,0.801,0.523,0.494,G-F
54,Paul Millsap,12.7,2014-15,29,ATL,73,73,1,32.7,6.1,12.7,5,9.8,1.1,3,3.5,4.6,1.9,5.9,7.8,3.1,1.8,0.9,2.3,2.8,16.7,0.476,0.513,0.356,0.757,0.565,0.518,F
55,Thaddeus Young,12.7,2014-15,26,"BRK,MIN",76,68,0,32,5.9,12.7,5.4,11.2,0.5,1.5,1.7,2.6,1.7,3.7,5.4,2.3,1.6,0.3,1.5,2.3,14.1,0.466,0.484,0.33,0.655,0.507,0.486,F
56,Al Horford,12.7,2014-15,28,ATL,76,76,1,30.5,6.8,12.7,6.7,12.2,0.1,0.5,1.4,1.9,1.7,5.4,7.2,3.2,0.9,1.3,1.3,1.6,15.2,0.538,0.547,0.306,0.759,0.563,0.544,C-F
57,Kevin Love,12.7,2014-15,26,CLE,75,75,0,33.8,5.5,12.7,3.6,7.5,1.9,5.2,3.4,4.3,1.9,7.9,9.7,2.2,0.7,0.5,1.6,1.9,16.4,0.434,0.48,0.367,0.804,0.562,0.509,F-C
